date,science orbit efficiency,rolling mean science orbit efficiency,rolling median science orbit efficiency,total observation time,overall efficiency
2000-07-02 00:00:00.000,89.68,,,64.2,71.60
2000-07-09 00:00:00.000,92.75,,,74.3,80.10
2000-07-16 00:00:00.000,95.15,,,70.9,74.50
2000-07-23 00:00:00.000,91.05,,,65.1,71.50
2000-07-30 00:00:00.000,93.11,,,74.7,80.20
2000-08-06 00:00:00.000,93.36,,,69.2,74.10
2000-08-13 00:00:00.000,93.72,,,65.1,69.50
2000-08-20 00:00:00.000,94.09,,,74.3,79.00
2000-08-27 00:00:00.000,92.71,,,70.5,76.10
2000-09-03 00:00:00.000,92.52,,,65.4,70.60
2000-09-10 00:00:00.000,91.25,,,70.6,77.40
2000-09-17 00:00:00.000,92.06,,,68.4,74.30
2000-09-24 00:00:00.000,92.39,,,68.8,74.50
2000-10-02 00:00:00.000,91.92,,,73.3,79.80
2000-10-09 00:00:00.000,90.89,,,65.4,72.00
2000-10-16 00:00:00.000,90.40,,,72.5,80.20
2000-10-23 00:00:00.000,92.74,,,70.2,75.70
2000-10-30 00:00:00.000,92.83,,,66.4,71.50
2000-11-06 00:00:00.000,91.29,,,71.4,78.20
2000-11-13 00:00:00.000,93.27,,,73.0,78.20
2000-11-20 00:00:00.000,95.44,,,67.7,70.90
2000-11-28 00:00:00.000,94.34,,,70.5,74.70
2000-12-04 00:00:00.000,90.80,,,65.8,72.50
2000-12-11 00:00:00.000,93.07,,,72.7,78.10
2000-12-18 00:00:00.000,93.80,,,70.4,75.10
2000-12-25 00:00:00.000,94.75,,,70.6,74.50
2001-01-08 00:00:00.000,87.06,,,69.3,79.60
2001-01-15 00:00:00.000,97.61,,,75.2,77.00
2001-01-22 00:00:00.000,89.86,,,67.4,75.10
2001-01-30 00:00:00.000,92.27,,,72.5,78.60
2001-02-05 00:00:00.000,94.18,,,69.8,74.10
2001-02-12 00:00:00.000,90.81,,,68.6,75.60
2001-02-19 00:00:00.000,97.00,,,73.0,75.30
2001-02-26 00:00:00.000,97.35,,,70.6,72.50
2001-03-05 00:00:00.000,94.35,,,72.2,76.50
2001-03-12 00:00:00.000,93.70,,,68.3,72.90
2001-03-19 00:00:00.000,91.33,,,65.9,72.10
2001-03-26 00:00:00.000,95.43,,,76.6,80.30
2001-04-02 00:00:00.000,93.48,,,68.4,73.20
2001-04-09 00:00:00.000,95.84,,,72.2,75.30
2001-04-16 00:00:00.000,94.40,,,73.6,78.00
2001-04-22 00:00:00.000,94.06,,,71.3,75.80
2001-04-30 00:00:00.000,95.99,,,74.5,77.60
2001-05-07 00:00:00.000,94.53,,,73.3,77.50
2001-05-14 00:00:00.000,95.15,,,70.1,73.60
2001-05-21 00:00:00.000,93.77,,,68.5,73.00
2001-05-28 00:00:00.000,92.23,,,72.0,78.00
2001-06-04 00:00:00.000,91.80,,,65.5,71.40
2001-06-11 00:00:00.000,91.84,,,72.9,79.30
2001-06-18 00:00:00.000,93.71,,,69.0,73.70
2001-06-25 00:00:00.000,96.55,,,69.1,71.60
2001-07-02 00:00:00.000,87.85,,,70.3,80.00
2001-07-09 00:00:00.000,92.97,93.10,93.11,68.5,73.70
2001-07-16 00:00:00.000,93.02,93.17,93.11,67.2,72.20
2001-07-23 00:00:00.000,92.49,93.16,93.11,73.4,79.40
2001-07-30 00:00:00.000,91.88,93.10,93.07,71.9,78.30
2001-08-06 00:00:00.000,93.99,93.16,93.11,66.8,71.10
2001-08-13 00:00:00.000,96.06,93.21,93.27,74.2,77.30
2001-08-20 00:00:00.000,93.65,93.22,93.27,68.3,73.00
2001-08-27 00:00:00.000,95.09,93.24,93.27,74.2,78.00
2001-09-03 00:00:00.000,93.74,93.24,93.27,70.3,75.00
2001-09-10 00:00:00.000,94.58,93.27,93.48,68.0,71.90
2001-09-17 00:00:00.000,91.21,93.25,93.48,71.7,78.70
2001-09-24 00:00:00.000,95.56,93.33,93.65,73.2,76.50
2001-10-01 00:00:00.000,93.39,93.35,93.65,68.5,73.30
