Month,RawEfficiency,ManvFrac,RadFrac,CTI,Corrected
3,0.701,0.042,0.155,0.258,0.908
6,0.576,0.035,0.162,0.091,0.759
7,0.689,0.034,0.166,0.115,0.917
8,0.666,0.042,0.154,0.092,0.867
9,0.675,0.044,0.169,0.102,0.904
10,0.567,0.030,0.155,0.084,0.737
11,0.700,0.029,0.163,0.096,0.923
12,0.682,0.041,0.166,0.080,0.904
13,0.721,0.032,0.149,0.071,0.925
14,0.705,0.033,0.162,0.077,0.928
16,0.701,0.033,0.166,0.079,0.930
17,0.707,0.033,0.155,0.077,0.920
19,0.652,0.033,0.163,0.072,0.858
20,0.519,0.024,0.155,0.059,0.674
21,0.588,0.026,0.153,0.076,0.796
22,0.503,0.027,0.166,0.063,0.746
23,0.590,0.032,0.243,0.067,0.753
24,0.631,0.035,0.157,0.082,0.837
25,0.724,0.030,0.144,0.087,0.930
26,0.652,0.037,0.147,0.081,0.888
27,0.574,0.035,0.128,0.066,0.724
28,0.669,0.030,0.144,0.084,0.882
29,0.696,0.040,0.139,0.081,0.911
30,0.659,0.042,0.141,0.075,0.870
31,0.613,0.033,0.144,0.105,0.815
32,0.688,0.043,0.129,0.069,0.891
33,0.685,0.039,0.143,0.081,0.914
34,0.634,0.035,0.127,0.069,0.822
35,0.689,0.037,0.140,0.082,0.914
36,0.702,0.029,0.125,0.079,0.926
37,0.696,0.043,0.131,0.074,0.902
38,0.535,0.033,0.368,0.069,0.670
39,0.656,0.028,0.132,0.064,0.915
40,0.611,0.034,0.127,0.112,0.868
41,0.665,0.032,0.132,0.181,0.923
42,0.674,0.039,0.123,0.134,0.911
43,0.641,0.042,0.139,0.144,0.882
44,0.693,0.037,0.115,0.137,0.922
45,0.549,0.023,0.139,0.121,0.751
46,0.486,0.038,0.116,0.106,0.643
47,0.607,0.036,0.134,0.123,0.866
48,0.602,0.048,0.121,0.136,0.801
49,0.684,0.051,0.125,0.134,0.901
50,0.684,0.040,0.124,0.133,0.914
51,0.683,0.038,0.134,0.129,0.928
52,0.711,0.037,0.120,0.127,0.925
